task,node,topic,timer_handle,callback_duration_us
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,64.71
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.486
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,614.946
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,371.773
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,51.391
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.829
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,103.828
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,112.796
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,148.08
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,107.379
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,136.811
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.775
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,61.57
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,106.01
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,104.105
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,51.039
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,84.869
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,106.434
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,89.072
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.774
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.895
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,98.845
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.894
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.317
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,82.544
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,100.893
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,103.962
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,28.788
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.737
