# x_m,y_m,w_tr_right_m,w_tr_left_m
211.2282,67.0567,8.2606,8.2056
212.1397,67.4720,8.2677,8.1893
213.0478,67.8948,8.2837,8.2075
213.9526,68.3257,8.3087,8.2377
214.8541,68.7632,8.3245,8.2611
215.7527,69.2069,8.3133,8.2776
216.6466,69.6614,8.3147,8.2834
217.5359,70.1249,8.3269,8.2799
218.4211,70.5962,8.3483,8.2679
219.3029,71.0744,8.3467,8.2486
220.1817,71.5582,8.3451,8.2700
221.0565,72.0495,8.3525,8.3054
221.9271,72.5480,8.3687,8.3332
222.7937,73.0533,8.3934,8.3536
223.6567,73.5652,8.4079,8.3670
224.5165,74.0819,8.4050,8.3750
225.3721,74.6054,8.4105,8.3755
226.2231,75.1361,8.4254,8.3682
227.0694,75.6743,8.4494,8.3523
227.9118,76.2188,8.4382,8.3340
228.7504,76.7693,8.4079,8.3444
229.5847,77.3258,8.3854,8.3480
230.4148,77.8882,8.3706,8.3447
231.2408,78.4568,8.3636,8.3345
232.0624,79.0319,8.3392,8.3174
232.8777,79.6150,8.3249,8.2921
233.6853,80.2082,8.3246,8.2548
234.4855,80.8107,8.3376,8.2074
235.2777,81.4232,8.3091,8.1481
236.0620,82.0455,8.2738,8.1412
236.8393,82.6772,8.2514,8.1777
237.6095,83.3180,8.2417,8.2037
238.3719,83.9681,8.2371,8.2188
239.1274,84.6260,8.2364,8.2244
239.8750,85.2929,8.2483,8.2188
240.6161,85.9662,8.2702,8.2050
241.3506,86.6470,8.3027,8.1819
242.0788,87.3346,8.3159,8.1556
242.8004,88.0289,8.2983,8.2027
243.5144,88.7306,8.2921,8.2401
244.2210,89.4400,8.2975,8.2678
244.9210,90.1572,8.3137,8.2863
245.6147,90.8809,8.3193,8.2966
246.3053,91.6072,8.3227,8.3029
246.9895,92.3397,8.3357,8.3010
247.6670,93.0780,8.3581,8.2910
248.3380,93.8222,8.3776,8.2727
249.0024,94.5721,8.3731,8.2553
249.6585,95.3296,8.3808,8.3017
250.3061,96.0944,8.4009,8.3379
250.9450,96.8665,8.4332,8.3638
251.5755,97.6459,8.4551,8.3797
252.1991,98.4312,8.4347,8.3873
252.8176,99.2201,8.4207,8.3891
253.4282,100.0153,8.4176,8.3817
254.0307,100.8166,8.4255,8.3649
254.6256,101.6239,8.4282,8.3385
255.2144,102.4354,8.4287,8.3302
255.7956,103.2526,8.4395,8.3720
256.3692,104.0749,8.4601,8.4053
256.9352,104.9024,8.4907,8.4300
257.4932,105.7351,8.5066,8.4460
258.0437,106.5731,8.4951,8.4535
258.5867,107.4154,8.4928,8.4530
259.1218,108.2623,8.5005,8.4440
259.6491,109.1141,8.5045,8.4267
260.1684,109.9708,8.4939,8.4006
260.6796,110.8318,8.4931,8.4151
261.1833,111.6971,8.5016,8.4438
261.6795,112.5670,8.5196,8.4644
262.1684,113.4414,8.5271,8.4771
262.6497,114.3201,8.5136,8.4818
263.1208,115.2039,8.5123,8.4761
263.5825,116.0926,8.5227,8.4606
264.0351,116.9859,8.5438,8.4356
264.4794,117.8834,8.5407,8.4061
264.9167,118.7843,8.5335,8.4509
265.3443,119.6901,8.5381,8.4858
265.7621,120.6004,8.5545,8.5108
266.1705,121.5154,8.5818,8.5264
266.5709,122.4341,8.6026,8.5340
266.9690,123.3540,8.5828,8.5390
267.3614,124.2766,8.5696,8.5386
267.7428,125.2035,8.5694,8.5275
268.1129,126.1348,8.5824,8.5054
268.4724,127.0704,8.6040,8.4720
268.8234,128.0092,8.5762,8.4312
269.1637,128.9517,8.5608,8.4589
269.4934,129.8980,8.5579,8.4943
269.8121,130.8483,8.5676,8.5192
270.1203,131.8027,8.5885,8.5340
270.4204,132.7597,8.5745,8.5410
270.7182,133.7175,8.5628,8.5457
271.0076,134.6773,8.5605,8.5427
271.2861,135.6399,8.5705,8.5294
271.5541,136.6053,8.5918,8.5055
271.8137,137.5729,8.6222,8.4735
272.0656,138.5426,8.5995,8.4870
272.3092,139.5144,8.5857,8.5261
272.5434,140.4884,8.5825,8.5561
272.7671,141.4650,8.5912,8.5761
272.9798,142.4441,8.6107,8.5861
273.1880,143.4245,8.6358,8.5916
273.3888,144.4063,8.6455,8.5902
273.5823,145.3897,8.6389,8.5816
273.7686,146.3747,8.6402,8.5666
273.9460,147.3613,8.6518,8.5565
274.1116,148.3497,8.6764,8.6055
274.2662,149.3400,8.7126,8.6449
274.4115,150.3317,8.7589,8.6757
274.5475,151.3249,8.7810,8.6978
274.6744,152.3196,8.7626,8.7118
274.7972,153.3149,8.7484,8.7217
274.9148,154.3107,8.7397,8.7267
275.0237,155.3075,8.7404,8.7236
275.1236,156.3047,8.7504,8.7119
275.2167,157.3026,8.7677,8.6938
