center_x,center_y
-120.00556571089749,-146.63421310119938
-120.46985186969349,-147.51929885554443
-120.93021700384759,-148.4064462433982
-121.39185127049113,-149.29292753779973
-121.85229264107232,-150.18003123552845
-122.53758953379011,-151.51348423582385
-122.96899156643445,-152.41570345648995
-123.40221623781454,-153.3169739130573
-123.83495253461732,-154.2184985901987
-124.26781969099366,-155.11995514914258
-124.70065178365292,-156.0214299603025
-125.133493271607,-156.9228998807958
-125.56633224209897,-157.82437111173948
-125.99917188714451,-158.72584199154826
-126.43201135143785,-159.62731296544615
-126.86485086418647,-160.52878391412264
-127.29769036386612,-161.43025486959561
-127.73052986736637,-162.3317258231039
-128.1633693686532,-163.2331967776745
-128.59620887497312,-164.1346677299607
-129.02904836337407,-165.0361386903222
-129.46188791841786,-165.93760962066676
-129.89472722480926,-166.83908066300387
-130.32756745916737,-167.7405512873877
-130.76040423031105,-168.6420234715921
-131.1932539263456,-169.54348983446747
-131.6260553860312,-170.44497792283835
-132.0590368662218,-171.3463849305563
-132.49134650074137,-172.2480945353904
-133.12278382153576,-173.60832401188108
-133.53230925752885,-174.5202955417013
-133.94278720315504,-175.43183805509346
-134.35301826745592,-176.34349179815763
-134.7632843474247,-177.25512963896188
-135.1736572460473,-178.1667198591337
-135.58356785438662,-179.07851646409512
-135.9941278829662,-179.99002312009503
-136.37935411221258,-180.91284084751942
-136.76459510284093,-181.8356519846305
-137.1498321381689,-182.7584648876107
-137.5350702333164,-183.68127731742769
-137.9203080444862,-184.60408987402835
-138.3055459317472,-185.5269023966576
-138.69078379862106,-186.44971492838886
-139.07602167095234,-187.37252745768347
-139.46125954184114,-188.2953399876226
-139.8464974130424,-189.21815251742032
-140.23173528443624,-190.14096504713933
-140.61697315474737,-191.06377757731445
-141.00221102919676,-191.98659010574374
-141.38744888817587,-192.90940264070042
-141.77268680489772,-193.83221515129327
-142.15792450611895,-194.7550277528141
-142.54316301159997,-195.6778400149867
-142.92839851554237,-196.6006535436244
-143.3136452213795,-197.5234623457501
-143.69929563667745,-198.44610080726662
-144.08540318764057,-199.3685463855955
-144.47138691440628,-200.29104421013426
-144.85740381976575,-201.21352803534324
-145.24341183494778,-202.13601561166138
-145.62942223224567,-203.05850218287281
-146.01543199125754,-203.98098902340178
-146.40144192129765,-204.90347579176733
-146.7874518055109,-205.825962579469
-147.17346170200338,-206.7484493619896
-147.55947159520565,-207.67093614589845
-147.9454814892896,-208.59342292943535
-148.33149138313723,-209.5159097130719
-148.7175012770482,-210.43839649668172
-149.10351117094223,-211.36088328029868
-149.4895210648407,-212.2833700639138
-149.87553095873838,-213.20585684752925
-150.26154085263454,-214.1283436311453
-150.64755074653772,-215.0508304147585
-151.03356064041446,-215.97331719838257
-151.41957053438986,-216.89580398196603
-151.805580427997,-217.818290765701
-152.19159032297858,-218.74077754887057
-152.57760021283065,-219.6632643341502
-152.9636101218264,-220.585751111555
-153.3496199593768,-221.50823791834898
-153.73563006356432,-222.43072461546132
-154.12065064783712,-223.3536183536139
-154.5043285952592,-224.27706438818058
-154.88833217483065,-225.20037647329673
-155.27224850153095,-226.12372445005985
-155.65618820756643,-227.04706280968566
-156.04012164913243,-227.97040374621375
-156.4240567692412,-228.89374399226998
-156.80799143964828,-229.81708442331148
-157.19192623031938,-230.7404248048837
-157.57586098963608,-231.6637651993476
-157.95979575410638,-232.58710559171413
-158.3437305293166,-233.5104459795786
-158.7276652564136,-234.4337863875486
-159.11160016522365,-235.35712671959857
-159.4955343952947,-236.28046733522308
-159.87947115860857,-237.20380689246963
-160.26339846769025,-238.12715039965326
-160.6453132073686,-239.05133474953863
-161.0245919174764,-239.9766204210597
-161.40467331332735,-240.90157073398478
-161.78453963018165,-241.82661090597483
-162.1644635772794,-242.751627000301
-162.5443720824,-243.6766495462178
-162.92428472518588,-244.60167036343603
-163.30419625928766,-245.5266916438577
-163.68410809046048,-246.45171280016436
-164.06401984203336,-247.37673398972754
-164.44393161493494,-248.30175517037966
-164.82384338212168,-249.22677635341944
-165.20375515083904,-250.1517975358197
-165.58366691914875,-251.07681871839037
-165.9635786875586,-252.00183990091904
-166.34349045597529,-252.92686108344517
-166.72340222426465,-253.85188226602344
-167.1033139930566,-254.7769034483959
-167.48322575996536,-255.70192463153933
-167.86313753390422,-256.62694581180466
-168.2430492816059,-257.55196700281135
-168.62296112722623,-258.4769881537308
-169.0028726074091,-259.4020094542578
-169.38278545142333,-260.32703019644197
-169.76269320554957,-261.25205302239
-170.14261995539624,-262.1770680716252
-170.52247990873263,-263.1021104668766
-170.90273977626646,-264.02698914010034
-171.28321754163807,-264.95177860749925
-171.66364305241814,-265.8765894675563
-172.04408256473846,-266.8013945954821
-172.42451832548937,-267.7262012592747
-172.8049550909775,-268.65100751173145
-173.18539158908618,-269.57581387366486
-173.5658281519757,-270.5006202090273
-173.94626472312115,-271.4254265411971
-174.326701196462,-272.35023291270835
-174.70713805276546,-273.27503913004654
-175.08757347502296,-274.1998459247354
