 x_m, y_m
-185.4674203,141.3470003
-187.241055,142.2703951
-189.0173795,143.1886049
-190.796373,144.101633
-192.5780147,145.0094827
-194.3622839,145.9121574
-196.1491599,146.8096606
-197.9386225,147.7019959
-199.7306509,148.5891667
-201.5252251,149.4711767
-203.3223248,150.3480296
-205.1219299,151.219729
-206.9240203,152.0862786
-208.7285762,152.9476824
-210.5355776,153.803944
-212.3450049,154.6550674
-214.1568385,155.5010565
-215.9710587,156.3419153
-217.787646,157.1776477
-219.6065811,158.0082579
-221.4278447,158.8337499
-223.2514177,159.6541278
-225.0772809,160.4693959
-226.9054153,161.2795583
-228.7358019,162.0846192
-230.568422,162.884583
-232.4032567,163.679454
-234.2402875,164.4692365
-236.0794956,165.253935
-237.9208627,166.0335539
-239.7643703,166.8080977
-241.6100003,167.5775707
-243.4577375,168.3419695
-245.3075787,169.1012625
-247.1595412,169.8553667
-249.0136496,170.6041791
-250.8699295,171.3475923
-252.7284054,172.0854984
-254.589101,172.8177892
-256.452039,173.5443561
-258.3172414,174.2650904
-260.1847289,174.9798826
-262.0545215,175.6886232
-263.926638,176.391202
-265.8010963,177.0875088
-267.6779133,177.7774326
-269.5571048,178.4608623
-271.4386856,179.1376864
-273.3226692,179.8077928
-275.2090681,180.4710692
-277.0978938,181.1274028
-278.9891565,181.7766805
-280.8828654,182.4187887
-282.7790282,183.0536134
-284.6776517,183.6810403
-286.5787414,184.3009546
-288.4823015,184.913241
-290.3883348,185.5177841
-292.2968431,186.1144678
-294.2078266,186.7031756
-296.1212845,187.2837908
-298.0372143,187.8561961
-299.9556123,188.4202739
-301.8764734,188.975906
-303.7997911,189.522974
-305.7255573,190.061359
-307.6537628,190.5909418
-309.5843964,191.1116025
-311.5174458,191.6232211
-313.452897,192.1256771
-315.3907345,192.6188496
-317.3309412,193.1026171
-319.2734984,193.576858
-321.2183858,194.0414501
-323.1655813,194.496271
-325.1150614,194.9411976
-327.0668007,195.3761068
-329.0207721,195.8008747
-330.9769467,196.2153772
-332.9352941,196.6194901
-334.8957817,197.0130883
-336.8583754,197.3960467
-338.823039,197.7682398
-340.7897347,198.1295415
-342.7584225,198.4798256
-344.7290605,198.8189655
-346.7016051,199.1468342
-348.6760104,199.4633043
-350.6522287,199.7682483
-352.6302102,200.0615382
-354.6099027,200.3430456
-356.5912524,200.612642
-358.5742031,200.8701985
-360.5586963,201.1155859
-362.5446716,201.3486749
-364.532066,201.5693356
-366.5208146,201.7774381
-368.5108499,201.9728522
-370.5021023,202.1554473
-372.4944997,202.3250929
-374.4879676,202.481658
-376.4824289,202.6250115
-378.4778043,202.7550221
-380.4740119,202.8715584
-382.4709674,202.9744887
-384.4685835,203.0636813
-386.4667705,203.1390043
-388.465436,203.2003257
-390.4644852,203.2475134
-392.4638202,203.2804351
-394.4633403,203.2989588
-396.4629421,203.3029521
-398.4625192,203.2922828
-400.4619627,203.2668185
-402.4611603,203.226427
-404.4599969,203.1709761
-406.458354,203.1003336
-408.4561104,203.0143676
-410.4531418,202.9129459
-412.4493207,202.7959369
-414.4445158,202.6632089
-416.4385931,202.5146306
-418.4314151,202.3500706
-420.4228407,202.1693982
-422.412726,201.9724825
-424.4009228,201.7591934
-426.3872796,201.5294008
-428.3716413,201.2829753
-430.3538495,201.0197877
-432.3337417,200.7397093
-434.3111516,200.442612
-436.285909,200.1283682
-438.2578398,199.796851
-440.2267663,199.4479341
-442.1925066,199.0814917
-444.1548747,198.6974008
-446.1136852,198.2955611
-448.0687634,197.8759396
-450.0199488,197.4385737
-451.9670855,196.9835213
-453.9100185,196.5108425
-455.8485935,196.020597
-457.7826569,195.5128446
-459.7120556,194.9876449
-461.6366368,194.4450573
-463.5562483,193.8851413
-465.4707381,193.3079561
-467.3799548,192.7135608
-469.2837471,192.1020145
-471.1819641,191.473376
-473.0744552,190.8277043
-474.9610696,190.165058
-476.8416571,189.4854958
-478.7160676,188.7890764
-480.5841507,188.0758586
-482.4457564,187.3459008
-484.3007347,186.5992618
-486.1489355,185.8360002
-487.9902086,185.0561747
-489.8244036,184.2598441
-491.6513704,183.447067
-493.4709583,182.6179024
-495.2830167,181.7724091
-497.0873944,180.9106463
-498.8839403,180.032673
-500.6725027,179.1385487
-502.4529299,178.2283327
-504.2250696,177.3020848
-505.988769,176.3598649
-507.743875,175.4017331
-509.4902341,174.4277497
