x_m,y_m
271.04696793609764,-2390.601143152453
284.08815944439266,-2384.71288584359
290.83522074413486,-2381.395059048198
296.4359304617392,-2378.3158308770508
301.7515214548912,-2375.467814201489
304.7341708553722,-2373.7045487491414
307.1853666715324,-2371.6246032891795
313.5255916796159,-2367.7383326478302
323.11590475274716,-2361.1933345068246
332.93046254932415,-2354.017293705605
341.48579573375173,-2347.309592139907
350.09263667988125,-2339.915142687969
357.3264100223314,-2333.1043987777084
364.1008502257755,-2326.297598598525
370.5263677233597,-2318.9790703235194
376.6118045123294,-2312.178188790567
381.8939134037355,-2305.4414008557796
386.60530385316815,-2299.1098585715517
391.03256062744185,-2293.1239082962275
395.2291686923709,-2287.025558948517
399.02484993997496,-2281.0450398279354
402.425011286512,-2275.811409333721
405.7029667692259,-2269.7209617607296
408.6408528982429,-2264.148161227815
412.0282207635464,-2257.427676429972
414.79385399154853,-2251.8563626026735
418.115931514767,-2244.221389147453
420.87074067711364,-2237.3919724021107
423.3389647906879,-2230.622215140611
425.635433223797,-2223.9111303538084
427.5933117320528,-2217.889252186753
429.6601156917168,-2211.180151440203
431.59860239923,-2202.9035334493965
433.0318771051243,-2195.971128376201
434.0701345168054,-2189.842795148492
434.92533109965734,-2182.457846405916
435.56414596526884,-2176.618910960853
435.8143384002615,-2172.327466336079
436.21808750205673,-2165.86146387551
436.6649902012432,-2157.7365723447874
436.82924851658754,-2150.1288331514224
437.02977657679,-2140.0616052141413
436.9182750956388,-2133.7716307723895
436.6651618867181,-2111.012109907344
436.77947799372487,-2090.9187303688377
436.6635511892382,-2084.1141247823834
436.561767103849,-2072.276697504334
436.2587329077069,-2057.066825161688
435.9022200331092,-2042.3149594068527
435.6424573523691,-2032.137450649403
435.2308475978207,-2012.9087947132066
435.04706642823294,-1998.212717355229
434.86782782152295,-1990.7224671775475
434.50767136586364,-1977.1014830898494
434.3980212684255,-1964.3492630254477
434.13236059830524,-1953.4856403851882
433.9231291207252,-1942.5071700941771
433.6545190176694,-1931.3004708588123
433.5115507991286,-1921.3508589733392
433.3210047710454,-1912.5454417336732
432.95731362269726,-1896.9582683658227
432.59294086368755,-1881.2917614541948
432.4637411540607,-1872.9433691706508
432.14893554954324,-1860.483884464018
431.9067629331257,-1845.6742229480296
431.6327475239523,-1833.8386420635507
431.3003986859694,-1821.8962725177407
431.09707120992243,-1811.6041932245716
430.90751141298097,-1802.9132683034986
430.6025210362859,-1787.4751924518496
430.4502133615315,-1776.4392810836434
430.20471854135394,-1767.9204394072294
429.87521772517357,-1754.7529371408746
429.6532078234013,-1742.2879872424528
429.2672081947094,-1724.1057409029454
429.1011344923172,-1711.4687980525196
428.68363860528916,-1697.338288408704
428.433229568298,-1688.2477064412087
428.35603485803585,-1679.2700196187943
427.988259500009,-1666.648739732802
427.79034471558407,-1656.985875026323
427.5163362597814,-1645.1505832979456
427.22419489419553,-1633.6172894900665
427.0851658767788,-1624.1255193045363
426.82640072365757,-1614.0629260102287
426.6039033482084,-1601.5410210778937
426.2979377321899,-1585.9889837680385
425.98241004161537,-1570.5620279666036
425.6818540536333,-1555.6390524888411
425.2635302511044,-1540.3740031654015
424.90409153990913,-1525.2800350151956
424.5986208310351,-1509.7853327170014
424.2327918468509,-1493.9480672469363
423.8278957438888,-1479.0630888249725
423.5243937581545,-1463.7972036134452
423.26154620503075,-1448.59097220283
423.0713869747706,-1433.1526173846796
422.70141582516953,-1418.1619409574196
422.3434578151209,-1403.2397536020726
422.04083959164564,-1386.99258702714
421.73291595606133,-1371.2122601680458
421.3042773960624,-1354.7467893743888
421.0650710767368,-1340.2811787119135
420.61705547524616,-1325.3475344087929
420.47065725713037,-1314.998443246819
420.0764381795889,-1302.5356839867309
419.8569000918651,-1290.3573630135506
419.65309536643326,-1280.0088123595342
419.36435094545595,-1266.4587093172595
419.0819985785056,-1253.6519639603794
418.76043103891425,-1242.961372980848
418.39819847699255,-1230.6158368662
418.1266641424736,-1219.0670949593186
417.9233532708604,-1208.7758190482855
417.5673723479267,-1194.082752672024
417.16578532592393,-1180.7625035978854
417.0227682766272,-1170.8064530156553
416.62069092155434,-1157.429065266624
416.3235939196311,-1142.907139130868
416.1035693723243,-1130.6718912906945
415.7310054390691,-1119.5913535822183
415.0248101905454,-1110.9056498091668
414.55905583966523,-1103.4759065741673
413.933867215761,-1097.5342889204621
412.526024044957,-1087.3678968427703
411.4911321797408,-1080.5148944109678
410.45575042977,-1073.6047197543085
409.42430323478766,-1067.1519763860852
407.81585251470096,-1060.3611051691696
405.858547294396,-1053.0585983972996
403.90960223437287,-1046.7281240588054
402.3168899756856,-1041.7669644523412
400.1383290530648,-1035.4384725540876
397.504952697549,-1029.6285339295864
394.055619012448,-1022.3960615256801
390.4375163303921,-1015.5653191115707
387.86598210432567,-1010.2694985428825
385.0623736807611,-1004.6897658966482
382.030623102095,-999.2835427224636
377.95280998793896,-992.3995845671743
373.34921536559705,-985.0459520164877
368.6389805187937,-978.0530731696635
363.8762620197376,-971.632465545088
359.63854609336704,-966.1794374780729
355.2271481239004,-960.556358457543
348.90420879004523,-952.9483483405784
344.1523270176258,-947.7856496684253
339.4009427255951,-942.6801288565621
334.0176227609627,-937.5228544985875
329.2736168212723,-933.2749917181209
321.6953842282528,-926.5580911394209
313.42713514110073,-919.710146991536
307.5321173048578,-915.1290758680552
297.48190274392255,-908.0105172190815
289.45686699438374,-902.933092280291
281.43644427577965,-898.1987095987424
275.3201856678352,-894.5916042514145
267.07506910711527,-890.4309505717829
260.84892023261636,-887.3965906398371
255.7198327833321,-885.0961692240089
250.30421783740167,-882.8553838152438
242.2396767832106,-879.6652377946302
234.86889573698863,-877.0409448277205
227.84401555068325,-874.5852226149291
220.88193646038417,-872.7579462984577
212.54118161369115,-870.8281213426962
206.27040964574553,-869.2808108832687
199.88924263312947,-868.2490695957094
194.19937660882715,-867.4973029009998
188.74010808521416,-866.8579176878557
180.5833385892911,-866.2988232783973
171.96684799192008,-865.6864780047908
164.32818736648187,-865.2944701379165
157.91256603354122,-865.1627081632614
147.637237126939,-865.2507141390815
132.6547743998235,-865.3790110014379
119.67949643952306,-865.261373102665
108.48472417751327,-865.2428357414901
101.02072735794354,-865.1351740304381
97.7482062599156,-865.1059988550842
84.66007919586264,-865.2179906694219
66.75245603884105,-865.657089532353
50.96731542609632,-865.9064539782703
35.64189584495034,-866.2090363344178
9.429945151787251,-866.7114092968404
-14.732772118179128,-867.4324947707355
-29.65587773756124,-867.7886903127655
-39.18495409062598,-867.8700719261542
-51.00628788303584,-868.4284601798281
-65.88731829519384,-868.776624629274
-76.15923236135859,-869.2645668797195
-84.36606423160993,-869.5633301623166
-91.99544056528248,-870.25742301438
-99.91086294571869,-871.0683104153723
-109.14365458395332,-872.233512641862
-116.2520090927137,-873.4377642562613
-125.59181186580099,-875.5187530769035
-134.23935688938946,-877.9940938744694
-141.5121325404616,-880.1146186776459
-147.17905767273623,-882.0499037224799
-152.50058562902268,-884.0966023113579
-158.2764761437429,-886.7189798941836
-164.5101423220476,-889.5167984878644
-170.3419832517393,-892.3111883299425
-175.48692618648056,-894.8709970954806
-182.34766736486927,-898.18877654057
-187.03046067547984,-901.0877274069935
-192.74263846105896,-904.4528947258368
-198.3825639251154,-907.9589938856661
-204.49122501246165,-911.9565247325227
-210.77210566960275,-915.9555194210261
-216.87737088347785,-920.3532833093777
-222.69562063750345,-924.7486005183309
-227.7715131964069,-928.6801447952166
-231.30333031574264,-931.9123658481985
-234.26840696274303,-934.2820424186066
-238.25703210989013,-937.8040581252426
-242.6975965523161,-942.187640232034
-245.3756575260777,-944.5548720806837
-248.7323551865993,-948.1286886986345
-252.71466743468773,-952.3940070131794
-256.64055268699303,-956.5444823969156
-263.3947227669414,-964.207096545957
-267.770127173746,-969.505027776584
-271.231925305794,-974.2233705706894
-273.95670792425517,-977.8489936199039
-276.90673435875215,-981.9911681553349
-280.85744209296536,-987.7429431527853
-284.1392587471055,-993.3746663592756
-287.19924270221964,-998.089597504586
-290.31274443282746,-1003.2624394521117
-293.25549419084564,-1008.2622856656089
-296.8447881345637,-1015.2118155090138
-299.72138800635,-1021.2403778946027
-302.0317207823973,-1026.3492169110104
-304.28854165342636,-1031.0001477682963
-305.97617490484845,-1035.0744202081114
-307.88808255200274,-1039.7796038305387
-309.6243728143163,-1044.8835707120597
-312.3735417823773,-1052.3978019729257
-313.7143204405438,-1056.7550449315459
-315.10813040530775,-1061.6273805983365
-316.9952553496696,-1069.2486604694277
-318.8830710859038,-1077.1468705283478
-320.1956610198831,-1084.8204619670287
-321.39295613009017,-1092.5502628609538
-322.18695486919023,-1100.4481897428632
-322.75279041787144,-1108.1726371468976
-323.0691998807015,-1116.0612855171785
-323.45990313845687,-1124.1273552728817
-323.6224416566547,-1132.01994548738
-323.5568147104932,-1139.7390556521714
-323.6016249587992,-1147.9737577810884
-323.7072445587255,-1155.808705543168
-323.7554582793964,-1163.6431731898338
-323.92042938806117,-1171.2499094642699
-324.0323696658015,-1178.3415549723431
-323.98645753529854,-1186.045515161939
-323.8035880565876,-1194.0495983297005
-323.7917843334144,-1198.6189608313143
