x_m,y_m
-285.2575944160344,-2185.228330809623
-283.27393688086886,-2195.677330216393
-280.8295025669504,-2206.2939966768026
-278.5178854933474,-2214.7957497648895
-276.2748643833911,-2221.9827071502805
-273.4494279100327,-2230.1369611425325
-270.57094903709367,-2237.77605365403
-266.8794208650943,-2246.494864956476
-263.7632983153453,-2253.232457635924
-260.14279161789455,-2260.3505378216505
-255.99922261782922,-2268.2076575942338
-253.14406693528872,-2273.1018044818193
-250.87229853053577,-2276.9142845235765
-248.31102178699803,-2281.0102586168796
-246.1589439996751,-2284.2518472597003
-244.0073510237271,-2287.4362495718524
-240.6952960586641,-2292.0405600946397
-237.66427586227655,-2296.1560496911407
-234.5867393569788,-2300.1904450803995
-230.98711248592008,-2304.8495034007356
-227.0444523327751,-2309.334069018252
-223.3912958467845,-2313.5351422140375
-218.8121946931351,-2318.586206652224
-213.83020909572951,-2323.7482251813635
-208.96694177214522,-2328.453722205013
-203.8170801984379,-2333.099587438628
-197.85755794413853,-2338.4248577663675
-193.116406522342,-2342.273518758826
-186.58670827932656,-2347.456736615859
-180.2320756885456,-2351.9779542190954
-175.14982554130256,-2355.423363622278
-168.91439448180608,-2359.430865895003
-161.75641481473576,-2363.888040402904
-155.17988880793564,-2367.4922871347517
-150.4276056945091,-2370.03907916788
-144.4879985625157,-2373.019635980949
-138.60823905922007,-2375.71473982092
-132.95959917409346,-2378.24023424834
-126.50616493832786,-2380.8732492169365
-119.36325358692557,-2383.557573935017
-112.10745658178348,-2386.0121625075117
-103.41383004828822,-2388.7404448268935
-96.85286093840841,-2390.5146410455927
-89.54646282887552,-2392.1680902689695
-84.02384436293505,-2393.3792116278782
-76.71987976913806,-2394.746709671803
-70.10782607796136,-2395.7769515234977
-63.55416191625409,-2396.69330183696
-56.37038922274951,-2397.432693451643
-47.57995609054342,-2398.0439823828638
-38.04604813444894,-2398.3057624902576
-31.040864103240892,-2398.3031572606415
-20.5343084881315,-2398.156267501414
-4.516349525889382,-2397.905105376616
11.844148276839405,-2397.4222151897848
28.436261431663297,-2397.1660796087235
48.41491333534941,-2396.7665798785165
69.37011727772187,-2396.4158710092306
85.36936585640069,-2396.068109015003
109.48095493984874,-2395.5187205784023
132.21603765292093,-2395.1526128482074
148.86507332022302,-2394.8385372050107
166.08826368139125,-2394.519509302452
181.8755754067097,-2394.155548109673
187.78692576522008,-2393.8189579127356
194.50062342418823,-2393.303913820535
202.47354227828328,-2392.3205389603972
207.40539709443692,-2391.5919800605625
215.20312609593384,-2390.2669402910396
222.88455131626688,-2388.771313082427
227.4684784048004,-2387.645378354937
233.31211352453101,-2386.10829927586
240.07243292441126,-2384.334589849226
248.31770652416162,-2381.6330710686743
253.81389869609848,-2379.755803606473
260.5678332997486,-2377.2386354301125
268.4792926250957,-2374.01596912276
275.6866547407117,-2370.808596718125
282.14810205844697,-2367.664808829315
288.1512027824065,-2364.639332395047
296.0372283440083,-2360.2250919323415
302.3779399447376,-2356.3960238499567
308.6597578609362,-2352.39588199649
314.1976255659247,-2348.6880805352703
320.988805310335,-2343.8256837939844
327.6622010054998,-2338.6211442211643
332.7358198084403,-2334.345402901992
336.32744197756983,-2331.3406007941812
341.4545383868972,-2326.606864870526
346.52421346958727,-2321.873621254228
351.53499417565763,-2316.969307864085
356.48344263329636,-2311.49361362122
360.4641800131649,-2306.998486727476
364.1043527460424,-2302.963817265816
367.5698212668067,-2298.6446911646053
371.7168953540968,-2293.461839489639
374.9512225147337,-2288.9731262419373
378.5830276175402,-2283.966277247295
381.8703398341313,-2278.962389114313
384.8169028830016,-2274.397145801224
388.7220102059655,-2267.786597621627
391.89054872933775,-2262.3262059707195
394.4344022698933,-2257.6718609267846
397.8203052604804,-2250.779827498831
400.5260746451095,-2244.9230827838182
403.6239115437493,-2237.9191511943936
405.92727997363545,-2232.0086811902
408.0642997021787,-2226.785936061293
410.1375127013307,-2220.820260225795
412.1503590879729,-2214.5119619565085
413.8434961399762,-2208.82906457223
415.567790940986,-2202.3516828175634
417.0683251043083,-2196.5625182129443
418.39661482931115,-2190.7748381644487
419.60859977279324,-2184.8165899608284
420.65533754392527,-2178.2549654273316
421.6857366680633,-2171.2116668075323
422.37853313970845,-2164.971943634562
422.79458303702995,-2159.935604198836
423.14387810300104,-2153.81322374288
423.2649925031001,-2147.8643808150664
423.2010839083232,-2140.4301844434813
422.92265658045653,-2128.0794777460396
422.58720379217993,-2109.0952274389565
422.0106876969803,-2082.106506990269
421.5451710446505,-2061.3506056843325
420.9182785563171,-2042.5055413236842
418.7959363277769,-1934.6835594037548
418.3834165567532,-1913.4129009423777
417.8374212891795,-1892.413996387273
417.4308030176908,-1871.829663622193
416.8423456191085,-1843.4505557687953
416.34243297821376,-1818.6924346219748
415.833052847418,-1795.8275745473802
415.31800832005683,-1775.987870442681
414.9261437547393,-1757.1193455997854
414.4640884997789,-1736.7645993921906
413.9503288886044,-1710.4054363919422
413.494666887098,-1690.7941892668605
413.0694924683776,-1668.0505641428754
412.670259773382,-1648.3245661361143
412.18289788416587,-1625.0255436813459
411.8146362467669,-1608.9021309968084
411.431087631383,-1591.0003855032846
410.99460382480174,-1573.6195354396477
410.69456860399805,-1558.753735867329
410.2130855041323,-1535.2904143538326
409.74160007492173,-1507.1590836588293
409.0862696734257,-1478.1340085798874
408.6301298311446,-1458.466170229949
408.12625340593513,-1436.14389367681
407.6573357891757,-1414.989463225007
407.2607255767798,-1395.5676185069606
406.76919899554923,-1371.7830000314862
406.3544844489079,-1354.7266673184931
405.8560789133189,-1330.1416532089934
405.4445752983447,-1308.9870196348056
404.81513702322263,-1282.5162062980235
