x,y
-136.81516172119882,-2369.9322379780933
-130.01529395848047,-2372.791067894548
-124.32434414431918,-2375.1964663928375
-118.44873020518571,-2377.4054334471
-107.27673450601287,-2381.227857339196
-99.27551043394487,-2383.5616929838434
-91.44945410825312,-2385.553862934001
-85.0057545840973,-2387.0430882563815
-77.9314580472419,-2388.4125451259315
-69.65094601979945,-2389.828896987252
-63.21211782761384,-2390.746225886978
-55.68385773326736,-2391.4826768068597
-47.811591149889864,-2392.1589924655855
-39.91584317816887,-2392.3590766461566
-33.71350520744454,-2392.4777105096728
-25.78967846976593,-2392.467258479446
-16.60368723294232,-2392.331637170166
-7.2749058295739815,-2392.1089945957065
2.915139546734281,-2391.878990055993
10.264322946895845,-2391.8162166979164
18.30102664232254,-2391.57598650828
26.825992693775333,-2391.360172071494
38.45239913649857,-2391.232229140587
49.647442845162004,-2391.0221672896296
58.25927797460463,-2390.891363614239
68.33396897825878,-2390.6050595864654
79.78764284960926,-2390.421342297457
88.57074580155313,-2390.1746558295563
96.89599192596506,-2390.1034518033266
106.11428991146386,-2389.910214940086
114.49548363953363,-2389.666936887428
122.36091630964074,-2389.54244706966
129.5952679096954,-2389.4805418420583
137.97646095696837,-2389.2372381025925
144.63665757363196,-2389.180232670158
152.32935387757607,-2388.999998530373
158.58715241786558,-2388.889233605005
166.10760193585884,-2388.7104603005573
172.48023124912288,-2388.598700813949
180.0185548812151,-2388.4417177001014
187.4212339941878,-2387.9207794452086
194.65068606077693,-2387.2869337331504
201.7054410035489,-2386.3686173679307
208.52955256414134,-2385.3378865271807
215.52443869179115,-2384.134110114537
223.0885763479164,-2382.353528357111
231.0541285102954,-2380.512306941673
238.67273347324226,-2378.388091326691
248.0059519748902,-2375.334096847102
255.50530367298052,-2372.6961599364877
263.28800086665433,-2369.6212098877877
271.3536481157644,-2366.063331627287
277.64579017006326,-2363.264153025113
283.59245491353795,-2360.3535497235134
289.7648515625624,-2356.9834711262956
295.3066565244226,-2353.733182683587
302.05809494433925,-2349.5355306109414
308.11220952589065,-2345.7661136025563
315.70229454513174,-2340.324950143695
321.8628813797841,-2335.5823528710753
330.5305787047837,-2328.587756308727
336.79861292114947,-2322.98635646794
341.86828837473877,-2318.253118157387
347.4468356636353,-2312.600444579497
354.84251700202003,-2304.5873141074553
359.90332904225215,-2298.8247038079426
363.3123654546216,-2294.6204494973645
366.4357977717882,-2290.5902231056243
369.9002768730279,-2286.1567283766344
373.0197725034086,-2281.669006442651
378.3479786432581,-2273.6164510343224
381.97289608151186,-2267.808991616592
384.91571158345323,-2262.8080718871206
387.68726227793377,-2257.923007962294
390.3969727588119,-2252.523757015355
393.1616369584808,-2246.838081056252
396.60003651469015,-2239.3736961167306
399.41276860632934,-2232.600985156372
401.7171214448754,-2226.8048939928412
403.8457877933979,-2220.609979784116
405.9749420777662,-2214.472256540321
408.0417638513027,-2207.763164966367
409.6532010482624,-2201.515518608503
410.98128694831394,-2195.7033639447764
412.4749418668216,-2189.1135948160663
413.74139589304104,-2182.81173695717
414.78015820507426,-2176.7406034264714
415.53774792549666,-2171.358177891001
416.27518292190507,-2163.6311185937375
416.7437349691754,-2158.022424642928
417.253970085294,-2150.583283445798
417.71072289696895,-2143.6021318286657
418.1512530155014,-2134.7338464064524
418.64601607550867,-2125.4933756235987
419.1122345508775,-2112.9361193031073
419.5895275020739,-2101.6655709445477
420.00531205069274,-2089.919353962876
420.2912926848512,-2083.111294515431
420.57962759397924,-2069.897960317321
421.1609253118513,-2057.3684066943824
421.3767085293075,-2049.0740482732654
435.6428011469543,-2032.137656335719
435.2311913924059,-2012.9090003995225
435.04741022293456,-1998.2129230415449
434.86817161610816,-1990.7226728638634
434.50801516044885,-1977.1016887761652
434.3983650630107,-1964.3494687117636
434.13270439289045,-1953.485846071504
433.9234729153104,-1942.507375780493
433.6548628122546,-1931.3006765451282
433.5118945937138,-1921.351064659655
433.3213485656306,-1912.545647419989
432.95765741728246,-1896.9584740521386
432.59328465827275,-1881.2919671405107
432.4640849486459,-1872.9435748569667
432.14927934412844,-1860.484090150334
431.90710672782734,-1845.6744286343455
431.6330913185375,-1833.8388477498665
431.30074248067103,-1821.8964782040566
431.09741500450764,-1811.6043989108875
430.9078552075662,-1802.9134739898145
430.6028648308711,-1787.4753981381655
430.4505571561167,-1776.4394867699593
430.20506233593915,-1767.9206450935453
429.8755615197588,-1754.7531428271905
429.6535516179865,-1742.2881929287687
429.2675519892946,-1724.1059465892613
429.1014782869024,-1711.4690037388355
428.68398239987437,-1697.33849409502
428.4335733628832,-1688.2479121275246
428.35637865262106,-1679.2702253051102
427.9886032945942,-1666.6489454191178
427.7906885101693,-1656.9860807126388
427.5166800543666,-1645.1507889842615
427.22453868878074,-1633.6174951763824
427.085509671364,-1624.1257249908522
426.8267445182428,-1614.0631316965446
426.6042471426772,-1601.5412267642096
426.2982815267751,-1585.9891894543543
425.9827538362006,-1570.5622336529195
425.6821978482185,-1555.639258175157
425.2638740456896,-1540.3742088517174
424.90443533449434,-1525.2802407015115
424.5989646256203,-1509.7855384033173
424.2331356414361,-1493.9482729332522
423.828239538474,-1479.0632945112884
423.5247375527397,-1463.797409299761
423.26188999961596,-1448.591177889146
423.0717307693558,-1433.1528230709955
422.70175961975474,-1418.1621466437355
422.34380160970613,-1403.2399592883885
422.04118338623084,-1386.9927927134559
421.73325975064654,-1371.2124658543617
421.3046211906476,-1354.7469950607046
421.065414871322,-1340.2813843982294
420.61739926983137,-1325.3477400951087
420.4710010517156,-1314.998648933135
420.0767819741741,-1302.5358896730468
419.8572438864503,-1290.3575686998665
419.65343916101847,-1280.00901804585
419.36469474004116,-1266.4589150035754
419.0823423730908,-1253.6521696466953
418.76077483349945,-1242.9615786671638
418.39854227157775,-1230.6160425525159
418.1270079370588,-1219.0673006456345
417.9236970654456,-1208.7760247346014
417.5677161425119,-1194.08295835834
417.16612912050914,-1180.7627092842013
417.0231120712124,-1170.8066587019712
416.62103471613955,-1157.42927095294
416.3239377142163,-1142.907344817184
416.1039131669095,-1130.6720969770104
415.7313492336543,-1119.5915592685342
415.0251539851306,-1110.9058554954827
414.55939963425044,-1103.4761122604832
413.9342110103462,-1097.534494606778
412.5263678395422,-1087.3681025290862
411.4914759742096,-1080.5151000972837
410.4560942243552,-1073.6049254406244
409.42464702937286,-1067.152182072401
407.81619630928617,-1060.3613108554855
405.8588910889812,-1053.0588040836155
403.9099460289581,-1046.7283297451213
402.31723377027083,-1041.767170138657
400.13867284765,-1035.4386782404035
397.5052964921342,-1029.6287396159023
394.0559628071496,-1022.396267211996
390.4378601249773,-1015.5655247978866
387.8663258989109,-1010.2697042291984
385.0627174753463,-1004.6899715829641
382.0309668966802,-999.2837484087795
377.95315378252417,-992.3997902534902
373.34955916018225,-985.0461577028036
368.6393243133789,-978.0532788559794
363.87660581432283,-971.632671231404
359.63888988795225,-966.1796431643888
355.2274919184856,-960.5565641438589
348.90455258463044,-952.9485540268943
344.152670812211,-947.7858553547412
339.4012865201803,-942.680334542878
334.0179665555479,-937.5230601849034
329.2739606159739,-933.2751974044368
321.695728022838,-926.5582968257368
313.42747893568594,-919.7103526778519
307.532461099443,-915.1292815543711
297.48224653850775,-908.0107229053974
289.45721078896895,-902.9332979666069
281.43678807036486,-898.1989152850583
275.3205294624204,-894.5918099377304
267.0754129017005,-890.4311562580988
260.84926402720157,-887.396796326153
255.7201765779173,-885.0963749103248
250.30456163198687,-882.8555895015597
242.24002057791222,-879.6654434809461
234.86923953157384,-877.0411505140364
227.84435934526846,-874.585428301245
220.88228025496937,-872.7581519847736
212.54152540827636,-870.8283270290121
206.27075344033074,-869.2810165695846
199.88958642771468,-868.2492752820253
194.19972040329594,-867.4975085873157
188.74045187979937,-866.8581233741716
180.5836823839927,-866.2990289647132
171.96719178650528,-865.6866836911067
164.32853116106708,-865.2946758242324
157.91290982812643,-865.1629138495773
147.6375809215242,-865.2509198253974
132.65511819440871,-865.3792166877538
119.67984023422468,-865.2615787889808
108.48506797209848,-865.243041427806
101.02107115252875,-865.135379716754
97.74855005450081,-865.1062045414001
84.66042299044784,-865.2181963557377
66.75279983330984,-865.6572952186689
50.967659220681526,-865.9066596645862
35.642239639535546,-866.2092420207337
9.430288946372457,-866.7116149831563
-14.732428323593922,-867.4327004570514
-29.655533942976035,-867.7888959990814
