Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.330027;-303.23;-1447.34;0.00615024;-0.000417939;-0.00605927;1.58826;-303.23;-1445.6;0.252679;0.000417939;0.00605927;-1.55333;-0.00512842;-3.46468e-005;0.0123918;0.000140277;0.00210689;9.43947e-005;0.0133773;-0.000448894;-0.15231;0.00253579;-0.013661;0.000375666;-0.00512842;169.032;0.194567
0.340028;-303.23;-1447.34;0.00623562;-0.000426777;-0.00608046;1.58826;-303.23;-1445.6;0.252801;0.000426777;0.00608046;-1.55333;-0.00501719;-3.96711e-005;0.0101189;0.00016261;0.00181636;9.76249e-005;0.0124657;-0.000472287;-0.180664;0.0024092;-0.0195506;0.000353882;-0.00501719;170.159;0.205062
0.350029;-303.23;-1447.34;0.006321;-0.000435615;-0.00610164;1.58826;-303.23;-1445.6;0.252924;0.000435615;0.00610164;-1.55333;-0.00490596;-4.46954e-005;0.00784602;0.000184944;0.00152584;0.000100855;0.011554;-0.000495681;-0.209018;0.0022826;-0.0254402;0.000332098;-0.00490596;171.286;0.215557
0.36003;-303.23;-1447.34;0.00637392;-0.000445676;-0.0061168;1.58826;-303.23;-1445.6;0.253003;0.000445676;0.0061168;-1.55333;-0.00480614;-5.05226e-005;0.00593425;0.000212184;0.00126011;0.000103926;0.0108187;-0.000524666;-0.217988;0.00231119;-0.0282922;0.000316888;-0.00480614;172.561;0.226441
0.370031;-303.23;-1447.34;0.00638479;-0.000457322;-0.00612416;1.58826;-303.23;-1445.6;0.253027;0.000457322;0.00612416;-1.55333;-0.00472109;-5.73895e-005;0.0044901;0.000245778;0.0010265;0.00010679;0.0103118;-0.000560892;-0.201857;0.00254073;-0.0272104;0.000310192;-0.00472109;174.026;0.237827
0.380031;-303.23;-1447.34;0.00639567;-0.000468968;-0.00613152;1.58826;-303.23;-1445.6;0.253051;0.000468968;0.00613152;-1.55333;-0.00463604;-6.42564e-005;0.00304595;0.000279372;0.00079289;0.000109654;0.00980485;-0.000597119;-0.185726;0.00277028;-0.0261286;0.000303496;-0.00463604;175.49;0.249213
0.390032;-303.23;-1447.34;0.00640654;-0.000480614;-0.00613887;1.58827;-303.23;-1445.6;0.253075;0.000480614;0.00613887;-1.55333;-0.00455099;-7.11232e-005;0.00160179;0.000312966;0.000559279;0.000112518;0.00929791;-0.000633345;-0.169595;0.00299982;-0.0250469;0.0002968;-0.00455099;176.955;0.260599
0.400033;-303.23;-1447.34;0.00641741;-0.000492259;-0.00614623;1.58827;-303.23;-1445.6;0.253099;0.000492259;0.00614623;-1.55333;-0.00446594;-7.79901e-005;0.000157639;0.00034656;0.000325668;0.000115382;0.00879096;-0.000669572;-0.153464;0.00322937;-0.0239651;0.000290103;-0.00446594;178.42;0.271985
0.410034;-303.23;-1447.34;0.00641535;-0.000505079;-0.00615008;1.58827;-303.23;-1445.6;0.253104;0.000505079;0.00615008;-1.55333;-0.00438482;-8.5143e-005;-0.000827253;0.000382042;0.00015923;0.000118118;0.00842688;-0.000695198;-0.135197;0.00339646;-0.0220127;0.000283795;-0.00438482;180.046;0.283797
0.420035;-303.23;-1447.34;0.0063966;-0.000519411;-0.00614941;1.58827;-303.23;-1445.6;0.253085;0.000519411;0.00614941;-1.55332;-0.00430876;-9.26644e-005;-0.0012201;0.00041996;7.93877e-005;0.000120692;0.00824697;-0.00070716;-0.114175;0.00348303;-0.018938;0.000277987;-0.00430876;181.88;0.296158
0.430035;-303.23;-1447.34;0.00637786;-0.000533744;-0.00614874;1.58827;-303.23;-1445.6;0.253065;0.000533744;0.00614874;-1.55332;-0.00423269;-0.000100186;-0.00161294;0.000457878;-4.54704e-007;0.000123265;0.00806706;-0.000719122;-0.093154;0.00356961;-0.0158633;0.000272179;-0.00423269;183.713;0.308519
0.440036;-303.23;-1447.34;0.00635911;-0.000548077;-0.00614807;1.58827;-303.23;-1445.6;0.253046;0.000548077;0.00614807;-1.55332;-0.00415663;-0.000107707;-0.00200579;0.000495796;-8.02972e-005;0.000125838;0.00788715;-0.000731084;-0.0721326;0.00365618;-0.0127886;0.000266371;-0.00415663;185.547;0.32088
0.450037;-303.23;-1447.34;0.00634037;-0.000562409;-0.0061474;1.58827;-303.23;-1445.6;0.253026;0.000562409;0.0061474;-1.55332;-0.00408056;-0.000115229;-0.00239863;0.000533714;-0.00016014;0.000128411;0.00770724;-0.000743046;-0.0511113;0.00374276;-0.00971385;0.000260564;-0.00408056;187.381;0.333241
0.460038;-303.23;-1447.34;0.00632129;-0.00057722;-0.006146;1.58827;-303.23;-1445.6;0.253005;0.00057722;0.006146;-1.55332;-0.00400672;-0.000120346;-0.00256751;0.000553549;-0.000209991;0.000131416;0.00758735;-0.000704127;-0.0349346;0.00344258;-0.00741064;0.000266805;-0.00400672;189.379;0.345797
0.470039;-303.23;-1447.34;0.00630178;-0.000592647;-0.00614365;1.58828;-303.23;-1445.6;0.252982;0.000592647;0.00614365;-1.55332;-0.00393572;-0.000122368;-0.00244814;0.000550111;-0.000221245;0.000134978;0.00754469;-0.000599726;-0.024993;0.00264466;-0.00610035;0.000288553;-0.00393572;191.587;0.358604
0.48004;-303.23;-1447.34;0.00628227;-0.000608073;-0.0061413;1.58828;-303.23;-1445.6;0.252959;0.000608073;0.0061413;-1.55332;-0.00386472;-0.00012439;-0.00232877;0.000546673;-0.000232498;0.00013854;0.00750204;-0.000495325;-0.0150514;0.00184674;-0.00479005;0.000310302;-0.00386472;193.796;0.371411
