x,y
-158.656,-194.799
-158.127,-195.125
-157.596,-195.45
-157.063,-195.77
-156.529,-196.088
-155.993,-196.402
-155.454,-196.714
-154.915,-197.022
-154.374,-197.327
-153.831,-197.629
-153.287,-197.928
-152.742,-198.224
-152.194,-198.516
-151.646,-198.806
-151.096,-199.092
-150.545,-199.376
-149.993,-199.656
-149.438,-199.933
-148.883,-200.207
-148.327,-200.478
-147.77,-200.746
-147.211,-201.011
-146.652,-201.273
-146.091,-201.532
-145.53,-201.787
-144.967,-202.039
-144.403,-202.289
-143.839,-202.536
-143.273,-202.779
-142.707,-203.019
-142.139,-203.257
-141.572,-203.491
-141.003,-203.722
-140.434,-203.95
-139.864,-204.176
-139.294,-204.398
-138.722,-204.617
-138.15,-204.834
-137.577,-205.047
-137.005,-205.258
-136.431,-205.465
-135.857,-205.67
-135.283,-205.871
-134.709,-206.07
-134.134,-206.266
-133.559,-206.459
-132.984,-206.649
-132.407,-206.837
-131.831,-207.021
-131.256,-207.202
-130.68,-207.381
-130.103,-207.558
-129.527,-207.731
-128.95,-207.902
-128.374,-208.07
-127.797,-208.234
-127.221,-208.397
-126.645,-208.556
-126.07,-208.714
-125.493,-208.868
-124.917,-209.019
-124.342,-209.168
-123.767,-209.315
-123.192,-209.459
-122.618,-209.601
-122.044,-209.739
-121.47,-209.875
-120.896,-210.009
-120.323,-210.14
-119.75,-210.268
-119.178,-210.395
-118.606,-210.519
-118.035,-210.64
-117.465,-210.759
-116.895,-210.876
-116.326,-210.99
-115.757,-211.102
-115.19,-211.212
-114.622,-211.319
-114.056,-211.424
-113.491,-211.527
-112.926,-211.628
-112.362,-211.726
-111.799,-211.822
-111.236,-211.917
106.563,-208.425
107.088,-208.313
107.613,-208.201
108.138,-208.086
108.664,-207.969
109.19,-207.851
109.718,-207.73
110.245,-207.607
110.774,-207.482
111.302,-207.354
111.832,-207.225
112.361,-207.094
112.892,-206.959
113.423,-206.824
113.954,-206.685
114.485,-206.545
115.017,-206.403
115.55,-206.258
116.082,-206.111
116.615,-205.961
117.149,-205.809
117.682,-205.655
118.216,-205.499
118.75,-205.34
119.284,-205.179
119.818,-205.016
120.352,-204.849
120.886,-204.681
121.421,-204.509
121.956,-204.337
122.491,-204.161
123.025,-203.983
123.559,-203.802
124.094,-203.619
124.628,-203.433
125.162,-203.245
125.696,-203.054
126.23,-202.86
126.763,-202.665
127.297,-202.466
127.83,-202.265
128.363,-202.061
128.895,-201.855
129.428,-201.646
129.96,-201.434
130.49,-201.22
131.021,-201.004
131.552,-200.785
132.081,-200.562
132.611,-200.338
133.14,-200.11
133.668,-199.879
134.195,-199.646
134.723,-199.411
135.249,-199.173
135.774,-198.931
136.298,-198.688
136.822,-198.442
137.346,-198.192
137.868,-197.941
138.39,-197.686
138.911,-197.428
139.43,-197.168
139.949,-196.905
140.466,-196.639
140.984,-196.37
141.499,-196.099
142.013,-195.825
142.527,-195.548
143.039,-195.268
143.551,-194.986
144.06,-194.701
144.569,-194.413
145.076,-194.122
145.583,-193.828
146.088,-193.532
146.591,-193.232
147.094,-192.931
147.594,-192.626
148.093,-192.317
148.591,-192.007
149.088,-191.694
149.582,-191.378
150.076,-191.059
150.568,-190.738
151.057,-190.413
151.546,-190.086
152.032,-189.755
152.517,-189.423
153,-189.088
153.482,-188.749
153.962,-188.408
154.44,-188.064
154.916,-187.718
155.391,-187.368
155.863,-187.016
156.333,-186.661
156.802,-186.304
157.268,-185.943
157.732,-185.58
158.195,-185.215
158.655,-184.846
159.114,-184.475
159.57,-184.101
160.024,-183.724
160.476,-183.345
160.926,-182.963
161.373,-182.578
161.818,-182.191
162.261,-181.802
162.702,-181.409
163.141,-181.014
163.576,-180.616
164.01,-180.216
164.441,-179.813
164.87,-179.407
165.297,-179
165.72,-178.589
166.142,-178.176
166.56,-177.761
166.978,-177.342
167.391,-176.922
167.803,-176.499
168.211,-176.073
168.618,-175.645
169.021,-175.214
169.421,-174.781
169.82,-174.346
170.215,-173.908
170.608,-173.468
170.999,-173.026
171.386,-172.58
171.771,-172.133
172.153,-171.684
172.531,-171.232
172.908,-170.778
173.281,-170.322
173.652,-169.863
174.019,-169.402
174.383,-168.939
174.745,-168.473
175.105,-168.005
175.46,-167.535
175.813,-167.063
176.163,-166.589
176.511,-166.113
176.855,-165.635
177.196,-165.154
177.533,-164.672
177.868,-164.187
178.2,-163.701
178.529,-163.212
178.855,-162.721
179.177,-162.229
179.497,-161.734
179.814,-161.237
180.128,-160.739
180.438,-160.239
180.745,-159.737
181.048,-159.233
181.349,-158.727
181.647,-158.219
181.942,-157.71
