x,y,z,idx
-2621.2180819363753,-8873.986728060736,0.0,74
-2640.144737653475,-8890.131490004629,0.0,75
-2658.804288606748,-8910.333090643313,0.0,76
-2671.59043963936,-8926.734320368396,0.0,77
-2685.261673200969,-8949.195917298552,0.0,78
-2696.623409177964,-8971.91834001617,0.0,79
-2705.206278077195,-8992.371920703816,0.0,80
-2713.4698168720624,-9016.566133482096,0.0,81
-2716.5992438093276,-9033.061661826416,0.0,82
-2718.1501078122947,-9053.03285566653,0.0,83
-2718.90622034261,-9079.325873639667,0.0,84
-2718.8835413013903,-9098.4521823196,0.0,85
-2718.7892013727987,-9133.64874282083,0.0,86
-2716.110886163153,-9309.628854435738,0.0,87
-2714.565242277888,-9329.122130392305,0.0,88
-2711.656850142339,-9347.138429453846,0.0,89
-2706.0158797949157,-9368.049302952575,0.0,90
-2697.747661921134,-9391.538713327478,0.0,91
-2689.2776751873143,-9408.336268294475,0.0,92
-2679.126275897777,-9426.76508982454,0.0,93
-2666.5077473507254,-9445.612337904311,0.0,94
-2652.6318113799234,-9462.719229512315,0.0,95
-2641.017985078489,-9475.402971699823,0.0,96
-2626.358937099104,-9489.189376379352,0.0,97
-2610.3886749623625,-9502.341836719314,0.0,98
-2594.158507864512,-9513.491745427284,0.0,99
-2576.2494651003663,-9524.270702010712,0.0,100
-2558.710295853964,-9533.047903852024,0.0,101
-2541.121037364007,-9539.928220069572,0.0,102
-2521.2750659219264,-9546.911071384182,0.0,103
-2504.686796145266,-9550.736655879151,0.0,104
-2484.374112857074,-9553.293070591186,0.0,105
-2453.9342193458524,-9554.888470974847,0.0,106
-2384.545730827569,-9554.037472579888,0.0,107
-2315.0400087492935,-9553.187835476643,0.0,108
-2246.012204398127,-9552.344020932946,0.0,109
-2176.138723292076,-9551.487788424722,0.0,110
-2108.7704082610685,-9550.667626938493,0.0,111
-2039.8012208506536,-9549.818213411168,0.0,112
-1969.4364521584096,-9548.959015698701,0.0,113
-1898.267807238902,-9548.085366000116,0.0,114
