x,y,z,
-206.496,-113.391,-0.558571,
-210.647,-109.442,-0.0929356,
-202.142,-113.094,-0.843976,
-209.596,-110.823,-0.234729,
-82.5216,-220.383,0.213475,
-198.949,-169.534,1.14954,
-193.976,-169.759,0.102013,
-210.706,-104.545,-0.0975867,
-70.5855,-220.412,0.171664,
-194.521,-167.858,0.02044,
-191.951,-110.52,-0.828651,
-204.267,-160.977,1.47037,
-196.573,-164.628,0.0414426,
-203.122,-161.053,0.851045,
-207.299,-156.688,2.37138,
-51.803,-222.252,0.767659,
-205.58,-157.719,1.12765,
-197.865,-161.641,0.00741707,
-194.464,-104.622,-0.988698,
-207.583,-154.076,1.32429,
-206.791,-98.8883,-0.529911,
-200.481,-157.809,0.068018,
-204.617,-155.354,0.411695,
-201.731,-98.7505,-0.863317,
-199.535,-98.2929,-0.885212,
-205.489,-94.7188,-0.167183,
-210.47,-91.5,-0.0515583,
-191.872,-96.7281,-0.807758,
-210.231,-86.8611,-0.0129198,
-62.4006,-194.246,-0.585909,
-151.094,-211.241,1.34344,
-56.362,-193.688,-0.363917,
-191.013,-137.531,-0.913726,
-154.593,-208.943,0.999212,
-171.18,-199.517,1.62582,
-194.018,-134.023,-0.919466,
-115.547,-222.496,2.32996,
-197.642,-95.432,-0.8553,
-207.89,-152.666,1.13412,
-210.125,-150.313,2.29857,
-18.4714,-203.43,-0.680393,
-40.4987,-196.58,-0.754572,
-197.059,-97.7266,-0.845379,
-114.257,-220.843,1.04031,
-172.645,-188.2,-0.233123,
-163.479,-190.697,-0.61037,
-159.449,-190.621,-0.301534,
-186.309,-177.203,-0.0314642,
-156.285,-189.485,-0.809166,
-141.971,-196.39,-0.810368,
-175.78,-181.783,-0.492931,
-159.456,-187.694,-0.79902,
-136.518,-197.208,-0.788291,
-162.742,-184.261,-0.805192,
-169.627,-181.472,-0.801574,
-133.639,-196.598,-0.83422,
-181.583,-175.625,-0.521855,
-166.074,-181.379,-0.819455,
-109.074,-205.19,-0.844437,
-157.122,-185.721,-0.780734,
-163.668,-181.559,-0.809009,
-169.076,-178.502,-0.83788,
-133.153,-194.327,-0.927775,
-139.58,-190.723,-0.919179,
-145.028,-188.358,-0.911496,
-130.604,-193.713,-0.963716,
-136.174,-191.729,-0.980657,
-142.53,-187.828,-0.977967,
-148.057,-185.73,-0.936994,
-90.9012,-208.193,-0.7751,
-160.725,-179.407,-0.86828,
-124.307,-193.579,-0.960181,
-67.4505,-217.192,-0.165048,
-114.762,-197.732,-0.948317,
-142.576,-184.164,-0.809995,
-105.494,-199.729,-1.02717,
-112.034,-196.848,-0.983649,
-160.069,-176.191,-1.05405,
-102.71,-200.753,-0.876713,
189.945,-162.622,1.25718,
-94.5255,-202.887,-0.801069,
-99.6184,-200.635,-0.900052,
-149.535,-179.653,-0.757221,
-175.805,-166.915,-0.769973,
-181.542,-163.915,-0.741937,
-166.944,-170.634,-0.969704,
-109.506,-193.669,-0.833384,
-199.146,-155.157,-0.204713,
-99.5029,-196.848,-0.994574,
-105.615,-193.888,-0.879872,
-196.216,-155.059,-0.474113,
-181.98,-160.931,-0.649057,
-173.144,-163.901,-0.84673,
-199.586,-151.811,-0.309056,
-164.18,-167.787,-0.757129,
-176.036,-160.975,-0.770845,
-202.666,-148.817,-0.162853,
-193.33,-151.331,-0.73821,
-202.36,-146.708,-0.270153,
-192.969,-149.174,-0.768798,
-207.156,-139.283,-0.0323551,
-207.459,-136.282,-0.0809582,
-207.871,-133.251,-0.096238,
-206.155,-134.53,-0.262067,
-156.264,-210.334,2.30367,
-202.346,-133.733,-0.616814,
-40.0203,-202.959,-0.717268,
