Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.250003;289.771;-917.041;0.275048;0.164874;-0.0068803;-0.564453;291.203;-918.029;0.514836;-0.164874;0.0068803;2.57714;-0.0024929;0.0304478;0.0404862;0.000323648;0.00570919;0.000340335;0.0546141;0.0515441;0.239078;0.0107607;0.115462;0.000318588;-0.0024929;162.471;0.123703
0.260003;289.771;-917.042;0.275244;0.16487;-0.00693188;-0.56446;291.203;-918.029;0.515122;-0.16487;0.00693188;2.57713;-0.00206035;0.0310939;0.0370397;0.000131438;0.00533812;0.00027504;0.0521935;0.0543674;0.112792;0.00427403;0.0824515;-0.00116297;-0.00206035;163.288;0.132843
0.270003;289.771;-917.042;0.275439;0.164865;-0.00698345;-0.564467;291.203;-918.03;0.515407;-0.164865;0.00698345;2.57713;-0.00162781;0.0317401;0.0335933;-6.07708e-005;0.00496705;0.000209745;0.0497729;0.0571906;-0.0134948;-0.00221261;0.0494412;-0.00264453;-0.00162781;164.105;0.141983
0.280004;289.771;-917.042;0.275635;0.16486;-0.00703503;-0.564474;291.202;-918.03;0.515693;-0.16486;0.00703503;2.57712;-0.00119526;0.0323863;0.0301468;-0.00025298;0.00459598;0.00014445;0.0473522;0.0600138;-0.139781;-0.00869924;0.0164308;-0.0041261;-0.00119526;164.922;0.151123
0.290004;289.771;-917.043;0.27583;0.164855;-0.00708661;-0.564481;291.202;-918.03;0.515978;-0.164855;0.00708661;2.57711;-0.00076271;0.0330325;0.0267004;-0.000445189;0.00422491;7.91549e-005;0.0449316;0.062837;-0.266068;-0.0151859;-0.0165795;-0.00560766;-0.00076271;165.739;0.160263
0.300004;289.771;-917.043;0.275966;0.164852;-0.00712865;-0.564486;291.202;-918.031;0.516187;-0.164852;0.00712865;2.57711;-0.000360165;0.0335234;0.0231065;-0.00056209;0.00379949;3.42589e-005;0.042817;0.0614895;-0.347538;-0.0177128;-0.0381903;-0.00612088;-0.000360165;166.658;0.169798
0.310004;289.77;-917.043;0.276003;0.164853;-0.00715501;-0.564491;291.202;-918.031;0.51627;-0.164853;0.00715501;2.5771;-6.93317e-006;0.0337592;0.0192704;-0.000555216;0.00328475;2.28902e-005;0.0412054;0.053287;-0.355348;-0.0137319;-0.0410652;-0.00504259;-6.93317e-006;167.746;0.179984
0.320004;289.77;-917.044;0.27604;0.164854;-0.00718138;-0.564495;291.202;-918.031;0.516353;-0.164854;0.00718138;2.5771;0.000346299;0.0339949;0.0154343;-0.000548342;0.00277;1.15216e-005;0.0395939;0.0450844;-0.363159;-0.0097509;-0.0439401;-0.00396429;0.000346299;168.834;0.19017
0.330004;289.77;-917.044;0.276078;0.164855;-0.00720775;-0.5645;291.201;-918.032;0.516436;-0.164855;0.00720775;2.57709;0.00069953;0.0342307;0.0115982;-0.000541467;0.00225525;1.52986e-007;0.0379823;0.0368819;-0.37097;-0.00576992;-0.046815;-0.002886;0.00069953;169.922;0.200355
0.340004;289.77;-917.044;0.276115;0.164856;-0.00723411;-0.564504;291.201;-918.032;0.516519;-0.164856;0.00723411;2.57709;0.00105276;0.0344664;0.00776212;-0.000534593;0.0017405;-1.12156e-005;0.0363707;0.0286794;-0.37878;-0.00178894;-0.0496899;-0.0018077;0.00105276;171.01;0.210541
0.350004;289.77;-917.045;0.276114;0.164854;-0.00725239;-0.564507;291.201;-918.032;0.51655;-0.164854;0.00725239;2.57709;0.0013873;0.0345687;0.00472256;-0.000468311;0.00130417;-1.71586e-005;0.0350438;0.0209431;-0.368278;0.00187665;-0.0499866;-0.00103012;0.0013873;172.216;0.221033
0.360005;289.769;-917.045;0.276049;0.164849;-0.00725733;-0.564508;291.201;-918.032;0.516494;-0.164849;0.00725733;2.57708;0.00169105;0.0344514;0.00299402;-0.000304248;0.000996898;-1.41715e-005;0.0341855;0.0139742;-0.327634;0.00502313;-0.0460399;-0.000747484;0.00169105;173.617;0.232027
0.370005;289.769;-917.045;0.275985;0.164844;-0.00726228;-0.564509;291.201;-918.033;0.516439;-0.164844;0.00726228;2.57708;0.00199481;0.034334;0.00126549;-0.000140185;0.000689628;-1.11844e-005;0.0333272;0.00700537;-0.28699;0.00816962;-0.0420932;-0.000464849;0.00199481;175.018;0.243022
0.380005;289.769;-917.045;0.27592;0.164838;-0.00726723;-0.56451;291.2;-918.033;0.516383;-0.164838;0.00726723;2.57708;0.00229857;0.0342167;-0.000463041;2.3878e-005;0.000382358;-8.19721e-006;0.0324689;3.64904e-005;-0.246346;0.0113161;-0.0381465;-0.000182213;0.00229857;176.419;0.254017
0.390005;289.769;-917.046;0.275856;0.164833;-0.00727218;-0.564511;291.2;-918.033;0.516328;-0.164833;0.00727218;2.57708;0.00260233;0.0340993;-0.00219157;0.000187941;7.50884e-005;-5.21006e-006;0.0316106;-0.00693239;-0.205703;0.0144626;-0.0341997;0.000100423;0.00260233;177.819;0.265011
0.400005;289.769;-917.046;0.275782;0.164825;-0.00727477;-0.564511;291.2;-918.033;0.516259;-0.164825;0.00727477;2.57708;0.00290309;0.0339662;-0.00350582;0.000335892;-0.000165544;-2.78199e-007;0.0308609;-0.0122601;-0.16764;0.0163775;-0.0299439;0.000342952;0.00290309;179.341;0.276413
0.410005;289.768;-917.046;0.275687;0.164812;-0.0072712;-0.56451;291.2;-918.034;0.516158;-0.164812;0.0072712;2.57708;0.00319603;0.0337916;-0.00373929;0.000441811;-0.000232334;9.72693e-006;0.0303945;-0.0133064;-0.136311;0.0150797;-0.0248815;0.000480855;0.00319603;181.176;0.288874
0.420005;289.768;-917.046;0.275591;0.164798;-0.00726763;-0.56451;291.2;-918.034;0.516057;-0.164798;0.00726763;2.57708;0.00348897;0.0336171;-0.00397276;0.00054773;-0.000299125;1.9732e-005;0.0299282;-0.0143527;-0.104983;0.0137819;-0.0198192;0.000618757;0.00348897;183.012;0.301336
0.430005;289.768;-917.047;0.275495;0.164785;-0.00726407;-0.564509;291.199;-918.034;0.515956;-0.164785;0.00726407;2.57708;0.00378192;0.0334425;-0.00420624;0.000653649;-0.000365916;2.97372e-005;0.0294619;-0.015399;-0.0736538;0.012484;-0.0147569;0.00075666;0.00378192;184.848;0.313798
0.440006;289.768;-917.047;0.275399;0.164771;-0.0072605;-0.564508;291.199;-918.034;0.515855;-0.164771;0.0072605;2.57708;0.00407486;0.033268;-0.00443971;0.000759568;-0.000432707;3.97423e-005;0.0289955;-0.0164453;-0.0423251;0.0111862;-0.00969456;0.000894562;0.00407486;186.684;0.32626
0.450006;289.768;-917.047;0.275308;0.164757;-0.00725645;-0.564507;291.199;-918.035;0.515758;-0.164757;0.00725645;2.57709;0.00435816;0.0331354;-0.00443186;0.000806049;-0.000475082;4.64116e-005;0.0285567;-0.0162846;-0.0180399;0.00920591;-0.0060664;0.000915167;0.00435816;188.646;0.338988
0.460006;289.767;-917.047;0.275225;0.164743;-0.00725161;-0.564506;291.199;-918.035;0.515667;-0.164743;0.00725161;2.57709;0.00462556;0.0330718;-0.0040265;0.000754627;-0.000477241;4.75863e-005;0.0281632;-0.0141358;-0.00535633;0.00610151;-0.00480052;0.000742566;0.00462556;190.815;0.352157
