center_x,center_y
-155.92153877428183,78.39296951660755
-155.83355305727372,79.38908064063645
-155.74556735230138,80.3851917657519
-155.65758164410406,81.3813028905762
-155.56959593677087,82.37741401547851
-155.48161022920613,83.37352514035993
-155.39362452170343,84.36963626524695
-155.30563881418414,85.36574739013246
-155.21765310666927,86.36185851501838
-155.12966739915322,87.35796963990418
-155.04168169163745,88.35408076479001
-154.95369598412165,89.35019188967584
-154.86571027660585,90.34630301456167
-154.77772456909003,91.34241413944751
-154.68973886157426,92.33852526433334
-154.60175315405843,93.33463638921917
-154.51376744654263,94.330747514105
-154.42578173902683,95.32685863899084
-154.33779603151103,96.32296976387667
-154.24981032399523,97.3190808887625
-154.16182461647944,98.31519201364833
-154.07383890896364,99.31130313853416
-153.9858532014478,100.30741426341999
-153.89786749393204,101.30352538830581
-153.8098817864162,102.29963651319166
-153.7218960789004,103.29574763807749
-153.63391037138462,104.29185876296332
-153.5459246638688,105.28796988784914
-153.45793895635302,106.28408101273497
-153.3699532488372,107.28019213762082
-153.28196754132136,108.27630326250664
-153.1939818338056,109.27241438739247
-153.10599612628977,110.2685255122783
-153.01801041877397,111.26463663716413
-152.93002471125817,112.26074776204996
-152.84203900374234,113.25685888693579
-152.75405329622654,114.25297001182163
-152.66606758871075,115.24908113670746
-152.57808188119495,116.24519226159329
-152.49009617367915,117.24130338647912
-152.40211046616335,118.23741451136496
-152.31412475864755,119.23352563625079
-152.22613905113172,120.22963676113662
-152.13815334361595,121.22574788602245
-152.05016763610013,122.22185901090828
-151.9621819285843,123.2179701357941
-151.87419622106853,124.21408126067993
-151.7862105135527,125.21019238556576
-151.6982248060369,126.2063035104516
-151.6102390985211,127.20241463533743
-151.52225339100528,128.19852576022328
-151.4342676834895,129.1946368851091
-151.34628197597368,130.19074800999493
-151.25829626845788,131.18685913488076
-151.17031056094208,132.1829702597666
-151.0823248534263,133.17908138465242
-150.9943391459105,134.17519250953825
-150.9063534383947,135.17130363442408
-150.8183677308789,136.1674147593099
-150.73038202336303,137.16352588419574
-150.64239631584735,138.15963700908156
-150.55441060833118,139.15574813396734
-150.46642490081663,140.15185925885328
-150.37843919329612,141.14797038373877
-150.29045348579794,142.1440815086259
-150.2024677782164,143.14019263350684
-150.11448207094588,144.1363037584108
-150.0264963625147,145.13241488322893
-149.93851065841517,146.12852600836752
-149.85052493814965,147.12463713231006
-149.76253927821642,148.1207482607163
