interpolated_x,interpolated_y,interpolated_z
-169.24227471108722,1.2540688228075965,-6.5348433946622695
-169.1497087768822,2.249775379893947,-6.5295673495118995
-169.05714284267717,3.2454819369802976,-6.52429130436153
-168.96457690847214,4.241188494066648,-6.51901525921116
-168.8720109742671,5.236895051152999,-6.51373921406079
-168.7794450400621,6.232601608239335,-6.50846316891042
-168.68687910585706,7.228308165325686,-6.50318712376005
-168.59431317165203,8.224014722412036,-6.49791107860968
-168.501747237447,9.219721279498387,-6.49263503345931
-168.40918130324198,10.215427836584738,-6.48735898830894
-168.31661536903695,11.211134393671088,-6.48208294315857
-168.2240494348319,12.206840950757439,-6.4768068980082
-168.13148350062687,13.20254750784379,-6.47153085285783
-168.03891756642184,14.19825406493014,-6.46625480770746
-167.94635163221682,15.193960622016476,-6.46097876255709
-167.8537856980118,16.189667179102827,-6.45570271740672
-167.76121976380676,17.185373736189177,-6.45042667225635
-167.66865382960174,18.181080293275528,-6.445150627105981
-167.5760878953967,19.17678685036188,-6.4398745819556105
-167.48352196119168,20.17249340744823,-6.434598536805241
-167.39095602698666,21.16819996453458,-6.4293224916548715
-167.29839009278163,22.16390652162093,-6.4240464465045015
-167.2058241585766,23.159613078707267,-6.418770401354132
-167.11325822437158,24.155319635793617,-6.413494356203762
-167.02069229016655,25.151026192879968,-6.408218311053392
-166.92812635596152,26.14673274996632,-6.402942265903022
-166.8355604217565,27.14243930705267,-6.397666220752652
-166.74299448755147,28.138145864139005,-6.392390175602282
-166.65042855334644,29.133852421225356,-6.387114130451912
-166.55786261914142,30.129558978311707,-6.381838085301542
-166.4652966849364,31.125265535398057,-6.376562040151172
-166.37273075073136,32.12097209248441,-6.371285995000802
-166.28016481652634,33.11667864957076,-6.366009949850432
-166.1875988823213,34.11238520665711,-6.360733904700062
-166.09503294811628,35.10809176374346,-6.355457859549692
-166.00246701391126,36.10379832082981,-6.350181814399322
-165.90990107970623,37.09950487791616,-6.344905769248952
-165.8173351455012,38.09521143500251,-6.339629724098582
-165.72476921129618,39.09091799208886,-6.334353678948212
-165.63220327709115,40.08662454917521,-6.3290776337978425
-165.53963734288612,41.08233110626156,-6.323801588647473
-165.4470714086811,42.078037663347914,-6.3185255434971035
-165.35450547447607,43.073744220434264,-6.3132494983467335
-165.26193954027104,44.069450777520615,-6.307973453196364
-165.16937360606602,45.06515733460694,-6.302697408045994
-165.076807671861,46.06086389169329,-6.297421362895624
-164.98424173765594,47.05657044877964,-6.292145317745254
-164.8916758034509,48.05227700586599,-6.286869272594884
-164.79910986924588,49.04798356295234,-6.281593227444514
-164.70654393504086,50.04369012003869,-6.276317182294144
-164.61397800083583,51.03939667712504,-6.271041137143774
-164.5214120666308,52.03510323421139,-6.265765091993404
-164.42884613242578,53.03080979129774,-6.260489046843034
-164.33628019822075,54.02651634838409,-6.255213001692664
-164.24371426401572,55.02222290547044,-6.249936956542294
-164.1511483298107,56.01792946255679,-6.244660911391924
-164.05858239560567,57.013636019643144,-6.239384866241554
-163.96601646140064,58.009342576729495,-6.234108821091184
-163.87345052719562,59.005049133815845,-6.228832775940814
-163.7808845929906,60.000755690902196,-6.2235567307904445
-163.68831865878556,60.996462247988546,-6.2182806856400745
-163.59575272458054,61.99216880507487,-6.2130046404897055
-163.5031867903755,62.98787536216122,-6.207728595339335
-163.41062085617048,63.98358191924757,-6.202452550188966
-163.31805492196546,64.97928847633392,-6.197176505038596
-163.22548898776043,65.97499503342027,-6.191900459888226
-163.1329230535554,66.97070159050662,-6.186624414737856
-163.04035711935038,67.96640814759297,-6.181348369587486
-162.94779118514535,68.96211470467932,-6.176072324437116
-162.85522525094032,69.95782126176567,-6.170796279286746
-162.7626593167353,70.95352781885202,-6.165520234136376
-162.67009338253027,71.94923437593837,-6.160244188986006
-162.57752744832524,72.94494093302472,-6.154968143835636
-162.48496151412022,73.94064749011108,-6.149692098685266
-162.3923955799152,74.93635404719743,-6.144416053534896
-162.29982964571013,75.93206060428378,-6.139140008384526
-162.2072637115051,76.92776716137013,-6.133863963234156
-162.11469777730008,77.92347371845648,-6.128587918083786
-162.02213184309505,78.9191802755428,-6.123311872933416
-161.92956590889003,79.91488683262915,-6.118035827783046
-161.836999974685,80.9105933897155,-6.1127597826326765
-161.74443404047997,81.90629994680185,-6.1074837374823066
-161.65186810627495,82.9020065038882,-6.1022076923319375
-161.55930217206992,83.89771306097455,-6.096931647181567
-161.4667362378649,84.8934196180609,-6.091655602031198
-161.37417030365987,85.88912617514725,-6.086379556880828
-161.28160436945484,86.8848327322336,-6.081103511730458
-161.1890384352498,87.88053928931996,-6.075827466580088
-161.0964725010448,88.8762458464063,-6.070551421429718
-161.00390656683976,89.87195240349266,-6.065275376279348
-160.91134063263473,90.867658960579,-6.059999331128978
-160.8187746984297,91.86336551766536,-6.054723285978608
-160.72620876422468,92.85907207475171,-6.049447240828238
-160.63364283001965,93.85477863183806,-6.044171195677868
-160.54107689581463,94.85048518892441,-6.038895150527498
-160.4485109616096,95.84619174601073,-6.033619105377128
-160.35594502740457,96.84189830309708,-6.028343060226758
-160.26337909319955,97.83760486018343,-6.023067015076388
-160.17081315899452,98.83331141726978,-6.017790969926018
-160.0782472247895,99.82901797435613,-6.012514924775648
-159.98568129058447,100.82472453144248,-6.0072388796252785
-159.89311535637944,101.82043108852884,-6.0019628344749085
-159.8005494221744,102.81613764561519,-5.996686789324539
-159.7079834879694,103.81184420270154,-5.9914107441741695
-159.61541755376436,104.80755075978789,-5.986134699023799
-159.52285161955933,105.80325731687424,-5.98085865387343
-159.4302856853543,106.79896387396059,-5.975582608723059
-159.33771975114928,107.79467043104694,-5.97030656357269
-159.24515381694425,108.79037698813329,-5.96503051842232
-159.15258788273923,109.78608354521964,-5.95975447327195
-159.0600219485342,110.78179010230599,-5.95447842812158
-158.96745601432917,111.77749665939234,-5.94920238297121
-158.87489008012412,112.77320321647866,-5.94392633782084
-158.7823241459191,113.76890977356501,-5.93865029267047
-158.68975821171406,114.76461633065136,-5.9333742475201
-158.59719227750904,115.76032288773771,-5.92809820236973
-158.504626343304,116.75602944482407,-5.92282215721936
-158.41206040909898,117.75173600191042,-5.91754611206899
-158.31949447489396,118.74744255899677,-5.91227006691862
-158.22692854068893,119.74314911608312,-5.90699402176825
-158.1343626064839,120.73885567316947,-5.9017179766178804
-158.04179667227888,121.73456223025582,-5.8964419314675105
-157.94923073807385,122.73026878734217,-5.8911658863171406
-157.85666480386882,123.72597534442852,-5.885889841166771
-157.7640988696638,124.72168190151487,-5.880613796016401
-157.67153293545877,125.71738845860122,-5.875337750866031
-157.57896700125374,126.71309501568757,-5.870061705715662
-157.48640106704872,127.70880157277392,-5.864785660565291
-157.3938351328437,128.70450812986027,-5.859509615414922
-157.30126919863866,129.7002146869466,-5.854233570264551
-157.20870326443364,130.69592124403295,-5.848957525114182
-157.1161373302286,131.6916278011193,-5.843681479963812
-157.02357139602358,132.68733435820565,-5.838405434813442
-156.93100546181856,133.683040915292,-5.833129389663072
-156.83843952761353,134.67874747237835,-5.827853344512702
-156.7458735934085,135.6744540294647,-5.822577299362332
-156.65330765920348,136.67016058655105,-5.817301254211962
-156.56074172499845,137.6658671436374,-5.812025209061592
-156.46817579079342,138.66157370072375,-5.806749163911222
-156.3756098565884,139.6572802578101,-5.801473118760852
-156.28304392238334,140.65298681489645,-5.796197073610482
-156.19047798817832,141.6486933719828,-5.7909210284601125
-156.0979120539733,142.64439992906915,-5.7856449833097425
-156.00534611976826,143.6401064861555,-5.780368938159373
-155.91278018556324,144.63581304324185,-5.775092893009003
-155.8202142513582,145.6315196003282,-5.769816847858633
-155.72764831715318,146.62722615741453,-5.764540802708263
