interpolated_x,interpolated_y,interpolated_z
-159.76854625758696,-26.101856433151006,-6.5312324435414615
-159.67213216078625,-25.106515123881618,-6.525800912627099
-159.5757180639855,-24.11117381461223,-6.520369381712736
-159.4793039671848,-23.11583250534284,-6.514937850798372
-159.38288987038405,-22.120491196073452,-6.509506319884009
-159.28647577358333,-21.125149886804063,-6.504074788969646
-159.19006167678262,-20.129808577534675,-6.498643258055282
-159.09364757998188,-19.134467268265286,-6.4932117271409195
-158.99723348318116,-18.139125958995898,-6.487780196226557
-158.90081938638045,-17.14378464972651,-6.482348665312193
-158.8044052895797,-16.14844334045712,-6.47691713439783
-158.707991192779,-15.153102031187732,-6.471485603483467
-158.61157709597828,-14.157760721918343,-6.466054072569103
-158.51516299917753,-13.162419412648955,-6.4606225416547405
-158.41874890237682,-12.167078103379566,-6.455191010740377
-158.3223348055761,-11.171736794110174,-6.449759479826014
-158.22592070877536,-10.17639548484079,-6.444327948911651
-158.12950661197465,-9.181054175571404,-6.438896417997287
-158.03309251517393,-8.185712866302012,-6.433464887082924
-157.9366784183732,-7.19037155703262,-6.428033356168561
-157.84026432157248,-6.195030247763235,-6.422601825254198
-157.74385022477176,-5.19968893849385,-6.417170294339835
-157.64743612797102,-4.204347629224458,-6.411738763425472
-157.5510220311703,-3.2090063199550656,-6.406307232511108
-157.4546079343696,-2.2136650106856806,-6.400875701596745
-157.35819383756885,-1.2183237014162955,-6.3954441706823815
-157.26177974076813,-0.2229823921469034,-6.390012639768019
-157.16536564396742,0.7723589171224887,-6.384581108853656
-157.06895154716668,1.7677002263918737,-6.379149577939292
-156.97253745036596,2.7630415356612588,-6.373718047024929
-156.87612335356525,3.758382844930651,-6.368286516110566
-156.7797092567645,4.753724154200043,-6.362854985196202
-156.6832951599638,5.749065463469428,-6.3574234542818395
-156.58688106316308,6.744406772738813,-6.351991923367477
-156.49046696636233,7.739748082008205,-6.346560392453113
-156.39405286956162,8.735089391277597,-6.34112886153875
-156.2976387727609,9.730430700546982,-6.335697330624386
-156.20122467596016,10.725772009816367,-6.330265799710023
-156.10481057915945,11.72111331908576,-6.3248342687956605
-156.00839648235873,12.716454628355152,-6.319402737881297
-155.911982385558,13.711795937624537,-6.313971206966934
-155.81556828875728,14.707137246893922,-6.308539676052571
-155.71915419195653,15.702478556163314,-6.303108145138207
-155.62274009515582,16.697819865432706,-6.297676614223844
-155.5263259983551,17.69316117470209,-6.292245083309481
-155.42991190155436,18.688502483971476,-6.286813552395118
-155.33349780475365,19.683843793240868,-6.281382021480755
-155.23708370795293,20.67918510251026,-6.275950490566391
-155.1406696111522,21.674526411779652,-6.270518959652028
-155.04425551435148,22.66986772104903,-6.265087428737665
-154.94784141755076,23.665209030318422,-6.2596558978233015
-154.85142732075002,24.660550339587815,-6.254224366908939
-154.7550132239493,25.655891648857192,-6.248792835994576
-154.6585991271486,26.651232958126585,-6.243361305080212
-154.56218503034785,27.646574267395977,-6.237929774165849
