x,y,z,idx
-2705.738338068533,-9018.62513249155,0.0,84
-2708.679002128136,-9034.125686262207,0.0,85
-2710.1804141165585,-9053.460097080424,0.0,86
-2710.927430047598,-9079.436797329825,0.0,87
-2710.904900726093,-9098.436720550651,0.0,88
-2710.810711214016,-9133.576955004166,0.0,89
-2710.476406684661,-9155.58187306251,0.0,90
-2710.158378167781,-9177.437559684922,0.0,91
-2709.8081007987394,-9199.412471452504,0.0,92
-2709.4820378232284,-9221.390619944495,0.0,93
-2709.139801962414,-9243.417002072405,0.0,94
-2708.803810304865,-9265.450857411923,0.0,95
-2708.4707617060694,-9287.502377786443,0.0,96
-2708.1371172606905,-9309.249025529974,0.0,97
-2706.6374865578628,-9328.162018813935,0.0,98
-2703.847292088868,-9345.44615003145,0.0,99
-2698.393162184755,-9365.664435864657,0.0,100
-2690.3965950026713,-9388.382130269752,0.0,101
-2682.22510002411,-9404.58773865864,0.0,102
-2672.311639661219,-9422.584628598808,0.0,103
-2660.090116636149,-9440.838925710459,0.0,104
-2646.596199183444,-9457.474869005284,0.0,105
-2635.3459622262762,-9469.761545069938,0.0,106
-2621.0959552462455,-9483.1632783157,0.0,107
-2605.59681184643,-9495.927765077875,0.0,108
-2589.8507092916657,-9506.745147833944,0.0,109
-2572.4129513204525,-9517.240472194697,0.0,110
-2555.475827409133,-9525.716409905464,0.0,111
-2538.352669075999,-9532.414423176124,0.0,112
-2519.055801656774,-9539.204091716487,0.0,113
-2503.2940455108956,-9542.839082985356,0.0,114
-2483.669113365215,-9545.308962808753,0.0,115
-2453.7748929814143,-9546.8757948629,0.0,116
-2384.6429438365876,-9546.028014911526,0.0,117
-2315.1372231010178,-9545.178450402474,0.0,118
-2246.1096543701915,-9544.334710814894,0.0,119
-2176.2355384030516,-9543.478543643112,0.0,120
-2108.8683472496577,-9542.658465909464,0.0,121
-2039.898322911642,-9541.8091148117,0.0,122
-1969.534070726395,-9540.949996375342,0.0,123
-1898.3441461809111,-9540.076159858161,0.0,124
